;   
;  IMD Data
;   
;  Saved on Wed Aug 16 11:11:01 2023
;   
;  Structure: 
;   
;  [ScN/CrN2] multilayer, N=300, d=1.56 nm, Gamma=0.570
;      ScN layer (1), rho=4.270 g/cm3, z=0.89 nm, sigma[CrN2/ScN]=0.10 nm
;      CrN2 layer (2), rho=5.090 g/cm3, z=0.67 nm, sigma=0.10 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0017017521
       390.01502     0.0017664455
       390.03003     0.0018287416
       390.04505     0.0018883442
       390.06006     0.0019448833
       390.07508     0.0019980895
       390.09009     0.0020476432
       390.10511     0.0020932467
       390.12012     0.0021346800
       390.13514     0.0021716831
       390.15015     0.0022040209
       390.16517     0.0022315380
       390.18018     0.0022540311
       390.19520     0.0022713934
       390.21021     0.0022834934
       390.22523     0.0022902317
       390.24024     0.0022915813
       390.25526     0.0022874901
       390.27027     0.0022779847
       390.28529     0.0022630877
       390.30030     0.0022428556
       390.31532     0.0022174029
       390.33033     0.0021868487
       390.34535     0.0021513401
       390.36036     0.0021110773
       390.37538     0.0020662663
       390.39039     0.0020171581
       390.40541     0.0019640190
       390.42042     0.0019071490
       390.43544     0.0018468642
       390.45045     0.0017835128
       390.46547     0.0017174580
       390.48048     0.0016490863
       390.49550     0.0015788089
       390.51051     0.0015070302
       390.52553     0.0014341955
       390.54054     0.0013607388
       390.55556     0.0012871181
       390.57057     0.0012138034
       390.58559     0.0011412388
       390.60060     0.0010698997
       390.61562     0.0010002577
       390.63063    0.00093275967
       390.64565    0.00086786736
       390.66066    0.00080603305
       390.67568    0.00074768027
       390.69069    0.00069323050
       390.70571    0.00064309522
       390.72072    0.00059764776
       390.73574    0.00055725674
       390.75075    0.00052226403
       390.76577    0.00049297708
       390.78078    0.00046968239
       390.79580    0.00045263315
       390.81081    0.00044205408
       390.82583    0.00043813184
       390.84084    0.00044102435
       390.85586    0.00045084259
       390.87087    0.00046767615
       390.88589    0.00049156339
       390.90090    0.00052249795
       390.91592    0.00056045966
       390.93093    0.00060535417
       390.94595    0.00065708821
       390.96096    0.00071549550
       390.97598    0.00078036445
       390.99099    0.00085149504
       391.00601    0.00092859871
       391.02102     0.0010113519
       391.03604     0.0010994523
       391.05105     0.0011924797
       391.06607     0.0012900746
       391.08108     0.0013917735
       391.09610     0.0014970896
       391.11111     0.0016055853
       391.12613     0.0017166895
       391.14114     0.0018299292
       391.15616     0.0019447203
       391.17117     0.0020604713
       391.18619     0.0021766673
       391.20120     0.0022926902
       391.21622     0.0024079142
       391.23123     0.0025218158
       391.24625     0.0026337302
       391.26126     0.0027431473
       391.27628     0.0028494491
       391.29129     0.0029520322
       391.30631     0.0030504135
       391.32132     0.0031439845
       391.33634     0.0032323040
       391.35135     0.0033148432
       391.36637     0.0033911050
       391.38138     0.0034607202
       391.39640     0.0035232229
       391.41141     0.0035783074
       391.42643     0.0036256139
       391.44144     0.0036648250
       391.45646     0.0036957476
       391.47147     0.0037181499
       391.48649     0.0037318519
       391.50150     0.0037367862
       391.51652     0.0037328473
       391.53153     0.0037200605
       391.54655     0.0036984405
       391.56156     0.0036680624
       391.57658     0.0036290861
       391.59159     0.0035816755
       391.60661     0.0035260893
       391.62162     0.0034632573
       391.63664     0.0033925768
       391.65165     0.0033142027
       391.66667     0.0032285792
       391.68168     0.0031362120
       391.69670     0.0030376559
       391.71171     0.0029335098
       391.72673     0.0028244177
       391.74174     0.0027110602
       391.75676     0.0025941601
       391.77177     0.0024744646
       391.78679     0.0023527723
       391.80180     0.0022298924
       391.81682     0.0021066448
       391.83183     0.0019838736
       391.84685     0.0018624585
       391.86186     0.0017432571
       391.87688     0.0016271289
       391.89189     0.0015149503
       391.90691     0.0014075939
