;   
;  IMD Data
;   
;  Saved on Wed Aug 16 12:07:59 2023
;   
;  Structure: 
;   
;  [Sc/Cr2N] multilayer, N=300, d=1.56 nm, Gamma=0.570
;      Sc layer (1), z=0.89 nm, sigma[Cr2N/Sc]=0.10 nm
;      Cr2N layer (2), rho=6.800 g/cm3, z=0.67 nm, sigma=0.10 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0025090565
       390.01502     0.0026263567
       390.03003     0.0027429510
       390.04505     0.0028581257
       390.06006     0.0029714070
       390.07508     0.0030820888
       390.09009     0.0031896529
       390.10511     0.0032935933
       390.12012     0.0033932419
       390.13514     0.0034881269
       390.15015     0.0035777950
       390.16517     0.0036616487
       390.18018     0.0037392885
       390.19520     0.0038103383
       390.21021     0.0038743010
       390.22523     0.0039308713
       390.24024     0.0039797734
       390.25526     0.0040206360
       390.27027     0.0040532657
       390.28529     0.0040774677
       390.30030     0.0040931257
       390.31532     0.0041000643
       390.33033     0.0040982646
       390.34535     0.0040877149
       390.36036     0.0040684778
       390.37538     0.0040405945
       390.39039     0.0040042271
       390.40541     0.0039595613
       390.42042     0.0039068332
       390.43544     0.0038463264
       390.45045     0.0037783545
       390.46547     0.0037032999
       390.48048     0.0036215791
       390.49550     0.0035336526
       390.51051     0.0034400139
       390.52553     0.0033411910
       390.54054     0.0032377720
       390.55556     0.0031303527
       390.57057     0.0030195680
       390.58559     0.0029060716
       390.60060     0.0027905480
       390.61562     0.0026736984
       390.63063     0.0025562401
       390.64565     0.0024389026
       390.66066     0.0023224008
       390.67568     0.0022075240
       390.69069     0.0020949873
       390.70571     0.0019855312
       390.72072     0.0018798857
       390.73574     0.0017787687
       390.75075     0.0016828814
       390.76577     0.0015929066
       390.78078     0.0015094962
       390.79580     0.0014332798
       390.81081     0.0013648524
       390.82583     0.0013047727
       390.84084     0.0012535609
       390.85586     0.0012116898
       390.87087     0.0011795899
       390.88589     0.0011576411
       390.90090     0.0011461649
       390.91592     0.0011454431
       390.93093     0.0011556880
       390.94595     0.0011770578
       390.96096     0.0012096497
       390.97598     0.0012534994
       390.99099     0.0013085803
       391.00601     0.0013748028
       391.02102     0.0014520142
       391.03604     0.0015399992
       391.05105     0.0016384330
       391.06607     0.0017470659
       391.08108     0.0018654552
       391.09610     0.0019931442
       391.11111     0.0021296182
       391.12613     0.0022743085
       391.14114     0.0024265248
       391.15616     0.0025857349
       391.17117     0.0027511603
       391.18619     0.0029220446
       391.20120     0.0030975121
       391.21622     0.0032768988
       391.23123     0.0034592684
       391.24625     0.0036437390
       391.26126     0.0038294110
       391.27628     0.0040152746
       391.29129     0.0042005859
       391.30631     0.0043843217
       391.32132     0.0045654539
       391.33634     0.0047432448
       391.35135     0.0049166816
       391.36637     0.0050847686
       391.38138     0.0052468106
       391.39640     0.0054018567
       391.41141     0.0055490802
       391.42643     0.0056876029
       391.44144     0.0058168488
       391.45646     0.0059359396
       391.47147     0.0060443830
       391.48649     0.0061414890
       391.50150     0.0062266349
       391.51652     0.0062994791
       391.53153     0.0063595203
       391.54655     0.0064063391
       391.56156     0.0064397709
       391.57658     0.0064594790
       391.59159     0.0064654258
       391.60661     0.0064574451
       391.62162     0.0064375421
       391.63664     0.0064037310
       391.65165     0.0063555421
       391.66667     0.0062932141
       391.68168     0.0062170687
       391.69670     0.0061275506
       391.71171     0.0060251460
       391.72673     0.0059104445
       391.74174     0.0057841065
       391.75676     0.0056468896
       391.77177     0.0054996042
       391.78679     0.0053431494
       391.80180     0.0051785100
       391.81682     0.0050066737
       391.83183     0.0048287455
       391.84685     0.0046458909
       391.86186     0.0044592511
       391.87688     0.0042700798
       391.89189     0.0040796731
       391.90691     0.0038892723
       391.92192     0.0037002460
       391.93694     0.0035138683
       391.95195     0.0033315079
       391.96697     0.0031545324
       391.98198     0.0029842090
       391.99700     0.0028219110
       392.01201     0.0026688865
       392.02703     0.0025263675
       392.04204     0.0023956143
       392.05706     0.0022777447
       392.07207     0.0021739045
       392.08709     0.0020850966
       392.10210     0.0020123164
       392.11712     0.0019564381
       392.13213     0.0019182667
       392.14715     0.0018985137
       392.16216     0.0018977867
       392.17718     0.0019165965
       392.19219     0.0019553689
