;   
;  IMD Data
;   
;  Saved on Wed Aug 16 12:10:00 2023
;   
;  Structure: 
;   
;  [Sc/Cr2N] multilayer, N=300, d=1.56 nm, Gamma=0.570
;      Sc layer (1), z=0.89 nm, sigma[Cr2N/Sc]=0.50 nm
;      Cr2N layer (2), rho=6.800 g/cm3, z=0.67 nm, sigma=0.50 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000   4.6989199e-005
       390.01502   4.9616152e-005
       390.03003   5.2286250e-005
       390.04505   5.4983867e-005
       390.06006   5.7698195e-005
       390.07508   6.0413043e-005
       390.09009   6.3116000e-005
       390.10511   6.5794723e-005
       390.12012   6.8432749e-005
       390.13514   7.1017815e-005
       390.15015   7.3537851e-005
       390.16517   7.5976915e-005
       390.18018   7.8323513e-005
       390.19520   8.0566535e-005
       390.21021   8.2691295e-005
       390.22523   8.4687703e-005
       390.24024   8.6546186e-005
       390.25526   8.8254054e-005
       390.27027   8.9803178e-005
       390.28529   9.1184950e-005
       390.30030   9.2392707e-005
       390.31532   9.3417379e-005
       390.33033   9.4254210e-005
       390.34535   9.4898273e-005
       390.36036   9.5346583e-005
       390.37538   9.5594528e-005
       390.39039   9.5641316e-005
       390.40541   9.5486333e-005
       390.42042   9.5130122e-005
       390.43544   9.4574800e-005
       390.45045   9.3821998e-005
       390.46547   9.2876228e-005
       390.48048   9.1742502e-005
       390.49550   9.0426979e-005
       390.51051   8.8936750e-005
       390.52553   8.7280243e-005
       390.54054   8.5466346e-005
       390.55556   8.3505492e-005
       390.57057   8.1408881e-005
       390.58559   7.9188412e-005
       390.60060   7.6856969e-005
       390.61562   7.4428138e-005
       390.63063   7.1916183e-005
       390.64565   6.9335982e-005
       390.66066   6.6702641e-005
       390.67568   6.4032684e-005
       390.69069   6.1341956e-005
       390.70571   5.8647057e-005
       390.72072   5.5964715e-005
       390.73574   5.3311787e-005
       390.75075   5.0705131e-005
       390.76577   4.8161593e-005
       390.78078   4.5697672e-005
       390.79580   4.3329799e-005
       390.81081   4.1073974e-005
       390.82583   3.8945751e-005
       390.84084   3.6960217e-005
       390.85586   3.5131667e-005
       390.87087   3.3473837e-005
       390.88589   3.1999639e-005
       390.90090   3.0721215e-005
       390.91592   2.9649371e-005
       390.93093   2.8794290e-005
       390.94595   2.8164981e-005
       390.96096   2.7769278e-005
       390.97598   2.7613828e-005
       390.99099   2.7704019e-005
       391.00601   2.8043959e-005
       391.02102   2.8636404e-005
       391.03604   2.9482785e-005
       391.05105   3.0582514e-005
       391.06607   3.1935425e-005
       391.08108   3.3538223e-005
       391.09610   3.5386774e-005
       391.11111   3.7475546e-005
       391.12613   3.9797638e-005
       391.14114   4.2343621e-005
       391.15616   4.5106176e-005
       391.17117   4.8073405e-005
       391.18619   5.1233217e-005
       391.20120   5.4570833e-005
       391.21622   5.8074846e-005
       391.23123   6.1728388e-005
       391.24625   6.5515045e-005
       391.26126   6.9417566e-005
       391.27628   7.3415978e-005
       391.29129   7.7495108e-005
       391.30631   8.1633732e-005
       391.32132   8.5809839e-005
       391.33634   9.0007092e-005
       391.35135   9.4202796e-005
       391.36637   9.8373999e-005
       391.38138    0.00010250387
       391.39640    0.00010656941
       391.41141    0.00011054981
       391.42643    0.00011442248
       391.44144    0.00011817146
       391.45646    0.00012177291
       391.47147    0.00012521195
       391.48649    0.00012846814
       391.50150    0.00013152206
       391.51652    0.00013436108
       391.53153    0.00013696768
       391.54655    0.00013932567
       391.56156    0.00014142553
       391.57658    0.00014325189
       391.59159    0.00014479767
       391.60661    0.00014605066
       391.62162    0.00014708239
       391.63664    0.00014781878
       391.65165    0.00014823167
       391.66667    0.00014831784
       391.68168    0.00014807529
       391.69670    0.00014750635
       391.71171    0.00014661276
       391.72673    0.00014539916
       391.74174    0.00014387193
       391.75676    0.00014203924
       391.77177    0.00013991223
       391.78679    0.00013750271
       391.80180    0.00013482475
       391.81682    0.00013189431
       391.83183    0.00012872885
       391.84685    0.00012534769
       391.86186    0.00012177136
       391.87688    0.00011802210
       391.89189    0.00011412373
       391.90691    0.00011010048
       391.92192    0.00010597863
       391.93694    0.00010178426
       391.95195   9.7545283e-005
       391.96697   9.3290470e-005
       391.98198   8.9047546e-005
       391.99700   8.4846743e-005
       392.01201   8.0716601e-005
       392.02703   7.6685965e-005
       392.04204   7.2785060e-005
       392.05706   6.9041655e-005
       392.07207   6.5485203e-005
       392.08709   6.2142235e-005
       392.10210   5.9040601e-005
       392.11712   5.6205681e-005
       392.13213   5.3661900e-005
       392.14715   5.1433313e-005
       392.16216   4.9541388e-005
       392.17718   4.8006479e-005
       392.19219   4.6847198e-005
       392.20721   4.6080212e-005
       392.22222   4.5720146e-005
       392.23724   4.5779577e-005
       392.25225   4.6269248e-005
       392.26727   4.7196392e-005
       392.28228   4.8566997e-005
       392.29730   5.0384249e-005
       392.31231   5.2648827e-005
       392.32733   5.5358865e-005
       392.34234   5.8509935e-005
