;   
;  IMD Data
;   
;  Saved on Wed Aug 16 11:00:24 2023
;   
;  Structure: 
;   
;  [Sc/Cr] multilayer, N=300, d=1.56 nm, Gamma=0.590
;      Sc layer (1), z=0.92 nm, sigma[Cr/Sc]=0.20 nm
;      Cr layer (2), z=0.64 nm, sigma=0.20 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0015670634
       390.01502     0.0016396607
       390.03003     0.0017122843
       390.04505     0.0017844980
       390.06006     0.0018560100
       390.07508     0.0019263851
       390.09009     0.0019952989
       390.10511     0.0020624331
       390.12012     0.0021273649
       390.13514     0.0021897917
       390.15015     0.0022494220
       390.16517     0.0023058671
       390.18018     0.0023588624
       390.19520     0.0024081569
       390.21021     0.0024534160
       390.22523     0.0024944274
       390.24024     0.0025309951
       390.25526     0.0025628578
       390.27027     0.0025898647
       390.28529     0.0026118638
       390.30030     0.0026287542
       390.31532     0.0026403829
       390.33033     0.0026467058
       390.34535     0.0026476801
       390.36036     0.0026433122
       390.37538     0.0026335772
       390.39039     0.0026185427
       390.40541     0.0025982895
       390.42042     0.0025729145
       390.43544     0.0025425643
       390.45045     0.0025073941
       390.46547     0.0024675951
       390.48048     0.0024233935
       390.49550     0.0023750437
       390.51051     0.0023228074
       390.52553     0.0022669917
       390.54054     0.0022079121
       390.55556     0.0021459161
       390.57057     0.0020813745
       390.58559     0.0020146557
       390.60060     0.0019461722
       390.61562     0.0018763231
       390.63063     0.0018055409
       390.64565     0.0017342684
       390.66066     0.0016629219
       390.67568     0.0015919905
       390.69069     0.0015219000
       390.70571     0.0014531170
       390.72072     0.0013860792
       390.73574     0.0013212466
       390.75075     0.0012590462
       390.76577     0.0011999153
       390.78078     0.0011442782
       390.79580     0.0010925277
       390.81081     0.0010450627
       390.82583     0.0010022409
       390.84084    0.00096441968
       390.85586    0.00093191312
       390.87087    0.00090502806
       390.88589    0.00088402674
       390.90090    0.00086915594
