;   
;  IMD Data
;   
;  Saved on Wed Aug 16 10:59:33 2023
;   
;  Structure: 
;   
;  [Sc/CrN2] multilayer, N=300, d=1.56 nm, Gamma=0.520
;      Sc layer (1), z=0.81 nm, sigma[CrN2/Sc]=0.20 nm
;      CrN2 layer (2), rho=5.090 g/cm3, z=0.75 nm, sigma=0.20 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000     0.0014884090
       390.01502     0.0015408868
       390.03003     0.0015910796
       390.04505     0.0016386565
       390.06006     0.0016834170
       390.07508     0.0017250567
       390.09009     0.0017633742
       390.10511     0.0017981800
       390.12012     0.0018292224
       390.13514     0.0018563500
       390.15015     0.0018794274
       390.16517     0.0018982676
       390.18018     0.0019127803
       390.19520     0.0019228899
       390.21021     0.0019284853
       390.22523     0.0019295422
       390.24024     0.0019260554
       390.25526     0.0019179963
       390.27027     0.0019054075
       390.28529     0.0018883449
       390.30030     0.0018668981
       390.31532     0.0018411493
       390.33033     0.0018112419
       390.34535     0.0017773250
       390.36036     0.0017395824
       390.37538     0.0016982047
       390.39039     0.0016534204
       390.40541     0.0016054735
       390.42042     0.0015546311
       390.43544     0.0015011685
       390.45045     0.0014453931
       390.46547     0.0013876209
       390.48048     0.0013281835
       390.49550     0.0012674285
       390.51051     0.0012057065
       390.52553     0.0011433777
       390.54054     0.0010808308
       390.55556     0.0010184372
       390.57057    0.00095658150
       390.58559    0.00089564263
       390.60060    0.00083600633
       390.61562    0.00077805326
       390.63063    0.00072215920
       390.64565    0.00066869303
       390.66066    0.00061800538
       390.67568    0.00057046567
       390.69069    0.00052639618
       390.70571    0.00048611915
       390.72072    0.00044993775
       390.73574    0.00041813629
       390.75075    0.00039097813
       390.76577    0.00036870517
       390.78078    0.00035153221
       390.79580    0.00033965170
       390.81081    0.00033322801
       390.82583    0.00033239742
       390.84084    0.00033726729
       390.85586    0.00034791405
       390.87087    0.00036438419
       390.88589    0.00038669243
       390.90090    0.00041480842
       390.91592    0.00044870659
       390.93093    0.00048829511
       390.94595    0.00053346000
       390.96096    0.00058405583
       390.97598    0.00063990577
       390.99099    0.00070080233
       391.00601    0.00076650712
       391.02102    0.00083675580
       391.03604    0.00091125350
       391.05105    0.00098964644
       391.06607     0.0010716544
       391.08108     0.0011568761
       391.09610     0.0012449242
       391.11111     0.0013353880
       391.12613     0.0014278407
       391.14114     0.0015217975
       391.15616     0.0016168862
       391.17117     0.0017126020
       391.18619     0.0018084697
       391.20120     0.0019039634
       391.21622     0.0019986923
       391.23123     0.0020921274
       391.24625     0.0021837873
       391.26126     0.0022731965
       391.27628     0.0023598383
       391.29129     0.0024433488
       391.30631     0.0025232343
       391.32132     0.0025990181
       391.33634     0.0026703797
       391.35135     0.0027368794
       391.36637     0.0027981037
       391.38138     0.0028537947
       391.39640     0.0029035894
       391.41141     0.0029471995
       391.42643     0.0029843264
       391.44144     0.0030148218
       391.45646     0.0030384211
       391.47147     0.0030550376
       391.48649     0.0030645189
       391.50150     0.0030667520
       391.51652     0.0030617540
       391.53153     0.0030494929
       391.54655     0.0030299858
       391.56156     0.0030033576
       391.57658     0.0029696822
       391.59159     0.0029291555
       391.60661     0.0028819482
       391.62162     0.0028287257
       391.63664     0.0027691534
       391.65165     0.0027034071
       391.66667     0.0026318471
       391.68168     0.0025548858
       391.69670     0.0024729675
       391.71171     0.0023865725
       391.72673     0.0022962196
       391.74174     0.0022024457
       391.75676     0.0021058380
       391.77177     0.0020069798
       391.78679     0.0019065008
       391.80180     0.0018050591
       391.81682     0.0017032811
       391.83183     0.0016018522
       391.84685     0.0015014653
       391.86186     0.0014027779
       391.87688     0.0013064886
       391.89189     0.0012132937
       391.90691     0.0011238451
       391.92192     0.0010388279
       391.93694    0.00095886977
       391.95195    0.00088461570
       391.96697    0.00081668448
       391.98198    0.00075563727
       391.99700    0.00070204585
       392.01201    0.00065641304
       392.02703    0.00061921679
       392.04204    0.00059090425
       392.05706    0.00057186443
       392.07207    0.00056244556
       392.08709    0.00056294602
       392.10210    0.00057360238
       392.11712    0.00059460653
       392.13213    0.00062610412
       392.14715    0.00066814456
       392.16216    0.00072075336
       392.17718    0.00078388387
       392.19219    0.00085745367
       392.20721    0.00094124624
       392.22222     0.0010350532
       392.23724     0.0011385817
       392.25225     0.0012515204
       392.26727     0.0013733859
       392.28228     0.0015037449
       392.29730     0.0016420744
       392.31231     0.0017877962
       392.32733     0.0019402879
       392.34234     0.0020988736
       392.35736     0.0022628349
       392.37237     0.0024314129
       392.38739     0.0026038701
       392.40240     0.0027792636
       392.41742     0.0029567927
       392.43243     0.0031355767
       392.44745     0.0033146497
       392.46246     0.0034932293
       392.47748     0.0036703258
       392.49249     0.0038450155
       392.50751     0.0040163712
       392.52252     0.0041834736
       392.53754     0.0043454156
       392.55255     0.0045013072
       392.56757     0.0046502817
       392.58258     0.0047914335
       392.59760     0.0049240885
       392.61261     0.0050474115
       392.62763     0.0051606782
       392.64264     0.0052632082
       392.65766     0.0053543200
       392.67267     0.0054335602
       392.68769     0.0055003611
       392.70270     0.0055542299
       392.71772     0.0055948942
       392.73273     0.0056219907
       392.74775     0.0056352527
       392.76276     0.0056346072
       392.77778     0.0056199366
       392.79279     0.0055912228
       392.80781     0.0055486033
       392.82282     0.0054922002
       392.83784     0.0054223130
       392.85285     0.0053392409
       392.86787     0.0052434416
       392.88288     0.0051353828
       392.89790     0.0050156705
       392.91291     0.0048849608
       392.92793     0.0047439961
       392.94294     0.0045935982
       392.95796     0.0044346500
       392.97297     0.0042681108
       392.98799     0.0040949994
       393.00300     0.0039163758
       393.01802     0.0037334082
       393.03303     0.0035472700
       393.04805     0.0033591474
       393.06306     0.0031703579
       393.07808     0.0029821722
       393.09309     0.0027959075
       393.10811     0.0026128771
       393.12312     0.0024344657
       393.13814     0.0022619981
       393.15315     0.0020968133
       393.16817     0.0019402362
       393.18318     0.0017935468
       393.19820     0.0016580657
       393.21321     0.0015350068
       393.22823     0.0014255488
       393.24324     0.0013308302
       393.25826     0.0012519219
       393.27327     0.0011898254
       393.28829     0.0011454648
       393.30330     0.0011196817
       393.31832     0.0011132213
       393.33333     0.0011267374
       393.34835     0.0011607789
       393.36336     0.0012157863
       393.37838     0.0012920864
       393.39339     0.0013898910
       393.40841     0.0015092900
       393.42342     0.0016502503
       393.43844     0.0018125586
       393.45345     0.0019960310
       393.46847     0.0022002122
       393.48348     0.0024245610
       393.49850     0.0026684127
       393.51351     0.0029309788
       393.52853     0.0032112560
       393.54354     0.0035083914
       393.55856     0.0038211644
       393.57357     0.0041483191
       393.58859     0.0044883851
       393.60360     0.0048401351
       393.61862     0.0052019111
       393.63363     0.0055719675
       393.64865     0.0059488527
       393.66366     0.0063305382
       393.67868     0.0067154691
       393.69369     0.0071016367
       393.70871     0.0074869959
       393.72372     0.0078698912
       393.73874     0.0082480811
       393.75375     0.0086198976
       393.76877     0.0089830941
       393.78378     0.0093360237
       393.79880     0.0096764870
       393.81381      0.010002899
       393.82883      0.010313150
       393.84384      0.010605758
       393.85886      0.010886633
       393.87387      0.011151308
       393.88889      0.011392379
       393.90390      0.011608181
       393.91892      0.011797467
       393.93393      0.011958829
       393.94895      0.012091087
       393.96396      0.012193155
       393.97898      0.012264339
       393.99399      0.012303812
       394.00901      0.012311211
       394.02402      0.012286164
       394.03904      0.012228492
       394.05405      0.012138347
       394.06907      0.012016048
       394.08408      0.011862032
       394.09910      0.011677076
       394.11411      0.011462048
       394.12913      0.011218129
       394.14414      0.010946676
       394.15916      0.010649273
       394.17417      0.010327726
       394.18919     0.0099840079
       394.20420     0.0096196825
       394.21922     0.0092370744
       394.23423     0.0088395223
       394.24925     0.0084298412
       394.26426     0.0080109711
       394.27928     0.0075860111
       394.29429     0.0071582793
       394.30931     0.0067311500
       394.32432     0.0063081124
       394.33934     0.0058928205
       394.35435     0.0054889874
       394.36937     0.0051002246
       394.38438     0.0047303991
       394.39940     0.0043832552
       394.41441     0.0040625985
       394.42943     0.0037721769
       394.44444     0.0035155652
       394.45946     0.0032964091
       394.47447     0.0031181682
       394.48949     0.0029841188
       394.50450     0.0028974200
       394.51952     0.0028610307
       394.53453     0.0028776507
       394.54955     0.0029497944
       394.56456     0.0030796093
       394.57958     0.0032690885
       394.59459     0.0035197193
       394.60961     0.0038327996
       394.62462     0.0042093399
       394.63964     0.0046496888
       394.65465     0.0051540673
       394.66967     0.0057223903
       394.68468     0.0063537393
       394.69970     0.0070471654
       394.71471     0.0078012152
       394.72973     0.0086140295
       394.74474     0.0094832854
       394.75976      0.010406312
       394.77477      0.011380047
       394.78979      0.012400985
       394.80480      0.013465313
       394.81982      0.014568868
       394.83483      0.015707090
       394.84985      0.016875173
       394.86486      0.018068025
       394.87988      0.019280228
       394.89489      0.020505846
       394.90991      0.021739770
       394.92492      0.022975634
       394.93994      0.024207324
       394.95495      0.025428247
       394.96997      0.026632776
       394.98498      0.027814201
       395.00000      0.028965792
       395.01502      0.030081906
       395.03003      0.031155545
       395.04505      0.032181227
       395.06006      0.033152186
       395.07508      0.034063211
       395.09009      0.034907928
       395.10511      0.035697452
       395.12012      0.036438401
       395.13514      0.037092994
       395.15015      0.037655474
       395.16517      0.038121421
       395.18018      0.038486550
       395.19520      0.038747178
       395.21021      0.038900300
       395.22523      0.038942886
       395.24024      0.038873330
       395.25526      0.038690391
       395.27027      0.038393569
       395.28529      0.037983322
       395.30030      0.037460816
       395.31532      0.036828111
       395.33033      0.036088426
       395.34535      0.035245779
       395.36036      0.034305248
       395.37538      0.033273227
       395.39039      0.032157193
       395.40541      0.030965473
       395.42042      0.029708172
       395.43544      0.028396542
       395.45045      0.027042611
       395.46547      0.025660666
       395.48048      0.024265339
       395.49550      0.022873413
       395.51051      0.021502570
       395.52553      0.020171565
       395.54054      0.018901032
       395.55556      0.017712321
       395.57057      0.016627725
       395.58559      0.015671061
       395.60060      0.014866414
       395.61562      0.014238837
       395.63063      0.013813693
       395.64565      0.013616745
       395.66066      0.013673676
       395.67568      0.014009957
       395.69069      0.014650562
       395.70571      0.015619614
       395.72072      0.016940140
       395.73574      0.018633670
       395.75075      0.020720018
       395.76577      0.023216192
       395.78078      0.026138908
       395.79580      0.029500278
       395.81081      0.033309088
       395.82583      0.037574111
       395.84084      0.042297905
       395.85586      0.047479174
       395.87087      0.053117346
       395.88589      0.059202557
       395.90090      0.065728250
       395.91592      0.072676980
       395.93093      0.080034073
       395.94595      0.087782443
       395.96096      0.095895093
       395.97598       0.10434973
       395.99099       0.11311982
       396.00601       0.12217936
       396.02102       0.13149334
       396.03604       0.14103375
       396.05105       0.15076883
       396.06607       0.16066698
       396.08108       0.17069666
       396.09610       0.18082620
       396.11111       0.19105774
       396.12613       0.20176170
       396.14114       0.21248046
       396.15616       0.22318318
       396.17117       0.23384072
       396.18619       0.24442383
       396.20120       0.25491031
       396.21622       0.26527370
       396.23123       0.27549553
       396.24625       0.28555349
       396.26126       0.29543195
       396.27628       0.30511546
       396.29129       0.31459076
       396.30631       0.32384637
       396.32132       0.33287097
       396.33634       0.34165934
       396.35135       0.35020207
       396.36637       0.35849662
       396.38138       0.36653638
       396.39640       0.37431995
       396.41141       0.38184561
       396.42643       0.38911261
       396.44144       0.39612100
       396.45646       0.40287163
       396.47147       0.40936596
       396.48649       0.41560597
       396.50150       0.42177895
       396.51652       0.42774599
       396.53153       0.43345029
       396.54655       0.43889479
       396.56156       0.44408610
       396.57658       0.44902628
       396.59159       0.45372122
       396.60661       0.45817549
       396.62162       0.46239378
       396.63664       0.46638066
       396.65165       0.47014097
       396.66667       0.47367918
       396.68168       0.47699877
       396.69670       0.48010611
       396.71171       0.48300359
       396.72673       0.48569603
       396.74174       0.48818835
       396.75676       0.49048261
       396.77177       0.49258301
       396.78679       0.49449318
       396.80180       0.49621613
       396.81682       0.49775403
       396.83183       0.49911123
       396.84685       0.50028944
       396.86186       0.50129025
       396.87688       0.50211671
       396.89189       0.50280211
       396.90691       0.50331590
       396.92192       0.50365080
       396.93694       0.50380817
       396.95195       0.50378971
       396.96697       0.50359603
       396.98198       0.50322827
       396.99700       0.50268691
       397.01201       0.50197233
       397.02703       0.50108440
       397.04204       0.50002340
       397.05706       0.49878856
       397.07207       0.49737938
       397.08709       0.49579514
       397.10210       0.49403471
       397.11712       0.49209653
       397.13213       0.48992578
       397.14715       0.48755451
       397.16216       0.48499258
       397.17718       0.48223832
       397.19219       0.47928909
       397.20721       0.47614192
