;   
;  IMD Data
;   
;  Saved on Wed Aug 16 11:13:30 2023
;   
;  Structure: 
;   
;  [ScN/CrN2] multilayer, N=300, d=1.56 nm, Gamma=0.570
;      ScN layer (1), rho=4.270 g/cm3, z=0.89 nm, sigma[CrN2/ScN]=0.50 nm
;      CrN2 layer (2), rho=5.090 g/cm3, z=0.67 nm, sigma=0.50 nm
;  Si substrate
;   
;  
;   
;  Theta=0.000 deg
;   
;  E [eV] 	R
       390.00000   3.5845831e-005
       390.01502   3.7507638e-005
       390.03003   3.9133708e-005
       390.04505   4.0716385e-005
       390.06006   4.2246131e-005
       390.07508   4.3715723e-005
       390.09009   4.5116579e-005
       390.10511   4.6440556e-005
       390.12012   4.7681293e-005
       390.13514   4.8831315e-005
       390.15015   4.9883618e-005
       390.16517   5.0833156e-005
       390.18018   5.1673448e-005
       390.19520   5.2400505e-005
       390.21021   5.3009471e-005
       390.22523   5.3496192e-005
       390.24024   5.3858412e-005
       390.25526   5.4092924e-005
       390.27027   5.4198737e-005
       390.28529   5.4174447e-005
       390.30030   5.4019454e-005
       390.31532   5.3734823e-005
       390.33033   5.3321429e-005
       390.34535   5.2780886e-005
       390.36036   5.2116351e-005
       390.37538   5.1330768e-005
       390.39039   5.0428607e-005
       390.40541   4.9414458e-005
       390.42042   4.8293759e-005
       390.43544   4.7072749e-005
       390.45045   4.5758072e-005
       390.46547   4.4357231e-005
       390.48048   4.2878086e-005
       390.49550   4.1329193e-005
       390.51051   3.9719344e-005
       390.52553   3.8058052e-005
       390.54054   3.6355029e-005
       390.55556   3.4620442e-005
       390.57057   3.2864899e-005
       390.58559   3.1098720e-005
       390.60060   2.9332915e-005
       390.61562   2.7578584e-005
       390.63063   2.5846515e-005
       390.64565   2.4147858e-005
       390.66066   2.2493718e-005
       390.67568   2.0894763e-005
       390.69069   1.9361641e-005
       390.70571   1.7904982e-005
       390.72072   1.6534643e-005
       390.73574   1.5260524e-005
       390.75075   1.4092050e-005
       390.76577   1.3037919e-005
       390.78078   1.2106519e-005
       390.79580   1.1305498e-005
       390.81081   1.0642035e-005
       390.82583   1.0122547e-005
       390.84084   9.7527215e-006
       390.85586   9.5374198e-006
       390.87087   9.4808541e-006
       390.88589   9.5863066e-006
       390.90090   9.8560776e-006
       390.91592   1.0291935e-005
       390.93093   1.0894258e-005
       390.94595   1.1663128e-005
       390.96096   1.2597195e-005
       390.97598   1.3694048e-005
       390.99099   1.4951201e-005
       391.00601   1.6364384e-005
       391.02102   1.7928419e-005
       391.03604   1.9638272e-005
       391.05105   2.1486477e-005
       391.06607   2.3466471e-005
       391.08108   2.5569470e-005
       391.09610   2.7785993e-005
       391.11111   3.0107304e-005
       391.12613   3.2521761e-005
       391.14114   3.5019506e-005
       391.15616   3.7588161e-005
       391.17117   4.0215002e-005
       391.18619   4.2888683e-005
       391.20120   4.5595456e-005
       391.21622   4.8321194e-005
       391.23123   5.1053767e-005
       391.24625   5.3777749e-005
       391.26126   5.6480962e-005
       391.27628   5.9148605e-005
       391.29129   6.1765937e-005
       391.30631   6.4320839e-005
       391.32132   6.6798008e-005
       391.33634   6.9185972e-005
       391.35135   7.1470878e-005
       391.36637   7.3639446e-005
       391.38138   7.5681287e-005
       391.39640   7.7583427e-005
       391.41141   7.9336627e-005
       391.42643   8.0930172e-005
       391.44144   8.2354039e-005
       391.45646   8.3601283e-005
       391.47147   8.4663688e-005
       391.48649   8.5534053e-005
       391.50150   8.6208182e-005
       391.51652   8.6680315e-005
       391.53153   8.6948251e-005
       391.54655   8.7009085e-005
       391.56156   8.6861238e-005
       391.57658   8.6505647e-005
       391.59159   8.5942632e-005
       391.60661   8.5175411e-005
       391.62162   8.4241025e-005
       391.63664   8.3109356e-005
       391.65165   8.1775301e-005
       391.66667   8.0246087e-005
       391.68168   7.8529994e-005
       391.69670   7.6636986e-005
       391.71171   7.4578041e-005
       391.72673   7.2365439e-005
       391.74174   7.0012131e-005
       391.75676   6.7532571e-005
       391.77177   6.4941964e-005
       391.78679   6.2256582e-005
       391.80180   5.9493507e-005
       391.81682   5.6670194e-005
       391.83183   5.3804977e-005
       391.84685   5.0917036e-005
       391.86186   4.8025573e-005
       391.87688   4.5150070e-005
       391.89189   4.2310573e-005
       391.90691   3.9527404e-005
       391.92192   3.6820102e-005
       391.93694   3.4208462e-005
       391.95195   3.1712469e-005
       391.96697   2.9351179e-005
       391.98198   2.7143191e-005
       391.99700   2.5107109e-005
       392.01201   2.3260001e-005
       392.02703   2.1618595e-005
       392.04204   2.0198498e-005
       392.05706   1.9014535e-005
       392.07207   1.8080151e-005
       392.08709   1.7407490e-005
       392.10210   1.7007590e-005
       392.11712   1.6889894e-005
       392.13213   1.7062433e-005
       392.14715   1.7531831e-005
       392.16216   1.8302619e-005
       392.17718   1.9378081e-005
       392.19219   2.0759975e-005
       392.20721   2.2447388e-005
       392.22222   2.4438492e-005
       392.23724   2.6729313e-005
       392.25225   2.9314830e-005
       392.26727   3.2186488e-005
       392.28228   3.5335500e-005
       392.29730   3.8750854e-005
       392.31231   4.2420431e-005
       392.32733   4.6328678e-005
       392.34234   5.0460166e-005
       392.35736   5.4798244e-005
       392.37237   5.9322228e-005
       392.38739   6.4012442e-005
       392.40240   6.8848577e-005
       392.41742   7.3805743e-005
       392.43243   7.8861075e-005
